airsigmetid,timevalidfromutc,timevalidtoutc,movementdirdegrees,movementspeedknots,hazardtype,hazardseverity,airsigmettype
3274,2012-12-09 09:55:00+00:00,2012-12-09 13:55:00+00:00,,,CONVECTIVE,,OUTLOOK
3279,2012-12-09 10:55:00+00:00,2012-12-09 14:55:00+00:00,,,CONVECTIVE,,OUTLOOK
3281,2012-12-09 09:55:00+00:00,2012-12-09 08:54:59+00:00,,,CONVECTIVE,,OUTLOOK
3284,2012-12-09 10:55:00+00:00,2012-12-09 09:54:59+00:00,,,CONVECTIVE,,OUTLOOK
3286,2012-12-09 09:55:00+00:00,2012-12-09 11:55:00+00:00,250.0,35.0,CONVECTIVE,LT-MOD,SIGMET
3287,2012-12-09 11:55:00+00:00,2012-12-09 15:55:00+00:00,,,CONVECTIVE,,OUTLOOK
3288,2012-12-09 10:55:00+00:00,2012-12-09 12:55:00+00:00,,,CONVECTIVE,NONE,SIGMET
3289,2012-12-09 12:55:00+00:00,2012-12-09 16:55:00+00:00,,,CONVECTIVE,,OUTLOOK
3290,2012-12-09 09:55:00+00:00,2012-12-09 10:54:59+00:00,250.0,35.0,CONVECTIVE,LT-MOD,SIGMET
3291,2012-12-09 11:55:00+00:00,2012-12-09 10:54:59+00:00,,,CONVECTIVE,,OUTLOOK
3292,2012-12-09 11:55:00+00:00,2012-12-09 13:55:00+00:00,250.0,35.0,CONVECTIVE,LT-MOD,SIGMET
3293,2012-12-09 10:55:00+00:00,2012-12-09 11:54:59+00:00,250.0,40.0,CONVECTIVE,LT-MOD,SIGMET
3294,2012-12-09 13:55:00+00:00,2012-12-09 17:55:00+00:00,,,CONVECTIVE,,OUTLOOK
3295,2012-12-09 12:55:00+00:00,2012-12-09 11:54:59+00:00,,,CONVECTIVE,,OUTLOOK
3296,2012-12-09 12:19:00+00:00,2012-12-09 15:00:00+00:00,,,MTN OBSCN,,AIRMET
3297,2012-12-09 12:19:00+00:00,2012-12-09 15:00:00+00:00,,,IFR,,AIRMET
3298,2012-12-09 12:55:00+00:00,2012-12-09 14:55:00+00:00,250.0,40.0,CONVECTIVE,LT-MOD,SIGMET
3299,2012-12-09 14:55:00+00:00,2012-12-09 18:55:00+00:00,,,CONVECTIVE,,OUTLOOK
3300,2012-12-09 11:55:00+00:00,2012-12-09 12:54:59+00:00,250.0,35.0,CONVECTIVE,LT-MOD,SIGMET
3301,2012-12-09 13:55:00+00:00,2012-12-09 12:54:59+00:00,,,CONVECTIVE,,OUTLOOK
3302,2012-12-09 13:55:00+00:00,2012-12-09 15:55:00+00:00,240.0,30.0,CONVECTIVE,LT-MOD,SIGMET
3303,2012-12-09 12:55:00+00:00,2012-12-09 13:54:59+00:00,250.0,40.0,CONVECTIVE,LT-MOD,SIGMET
3305,2012-12-09 14:55:00+00:00,2012-12-09 13:54:59+00:00,,,CONVECTIVE,,OUTLOOK
3306,2012-12-09 14:45:00+00:00,2012-12-09 21:00:00+00:00,,,IFR,,AIRMET
3307,2012-12-09 14:45:00+00:00,2012-12-09 21:00:00+00:00,,,MTN OBSCN,,AIRMET
3308,2012-12-09 12:19:00+00:00,2012-12-09 14:44:59+00:00,,,IFR,,AIRMET
3309,2012-12-09 12:19:00+00:00,2012-12-09 14:44:59+00:00,,,MTN OBSCN,,AIRMET
3312,2012-12-09 13:55:00+00:00,2012-12-09 14:54:59+00:00,240.0,30.0,CONVECTIVE,LT-MOD,SIGMET
3314,2012-12-09 14:45:00+00:00,2012-12-09 21:00:00+00:00,,,TURB,MOD,AIRMET
3315,2012-12-09 14:45:00+00:00,2012-12-09 21:00:00+00:00,,,ICE,MOD,AIRMET
3316,2012-12-09 14:55:00+00:00,2012-12-09 16:55:00+00:00,240.0,30.0,CONVECTIVE,LT-MOD,SIGMET
3318,2012-12-09 14:55:00+00:00,2012-12-09 15:54:59+00:00,240.0,30.0,CONVECTIVE,LT-MOD,SIGMET
3339,2012-12-09 14:45:00+00:00,2012-12-09 20:44:59+00:00,,,TURB,MOD,AIRMET
3342,2012-12-09 14:45:00+00:00,2012-12-09 20:44:59+00:00,,,ICE,MOD,AIRMET
